shape_0, shape_1
331,386
508,442
267,211
233,234
266,217
243,226
200,252
191,222
476,512
440,477
143,140
141,138
143,140
141,138
241,304
307,271
153,150
150,155
153,150
150,155
144,141
141,144
144,141
141,144
128,128
128,128
128,128
128,128
366,390
373,395
175,190
169,190
791,691
697,733
791,691
697,733
200,224
200,300
201,240
204,278
623,669
589,594
438,376
484,510
438,376
484,510
128,128
128,128
158,172
150,166
158,172
150,166
148,145
146,144
131,133
134,133
199,255
237,220
194,240
248,225
131,132
136,133
131,138
138,132
532,980
385,886
266,266
269,272
138,135
148,150
128,128
128,128
128,128
131,128
128,135
128,141
128,128
128,128
128,128
128,128
128,135
128,139
278,449
273,477
146,128
128,128
220,315
854,970
389,1045
128,128
128,128
128,128
130,128
132,128
135,131
134,129
134,128
345,312
340,313
334,328
128,128
128,128
128,128
128,128
128,128
128,128
385,476
148,135
134,147
387,398
322,463
387,398
322,463
234,234
225,222
232,226
230,213
330,232
221,278
292,268
404,202
220,241
219,223
153,150
145,144
253,312
220,240
427,416
432,407
1198,1053
925,1298
263,307
288,312
263,307
288,312
222,225
256,252
222,225
256,252
624,540
549,529
699,399
209,336
128,128
128,128
264,516
471,335
128,128
128,128
483,467
352,514
128,151
138,150
532,649
432,386
128,128
128,128
128,128
128,128
439,459
710,751
134,140
128,145
128,128
128,128
128,128
129,132
133,180
138,178
139,137
128,128
230,323
275,305
170,173
166,181
204,283
279,302
151,186
147,189
128,128
128,128
138,140
135,141
145,132
144,129
136,130
137,135
128,128
128,128
132,136
137,133
149,139
151,152
128,128
128,128
192,128
176,143
177,170
178,181
128,128
128,128
738,568
348,479
314,256
278,256
314,256
278,256
426,606
645,500
426,606
645,500
211,168
199,243
1045,821
1010,874
1068,1316
773,861
1068,1316
773,861
173,170
171,167
128,128
129,128
474,408
336,390
644,376
787,579
644,376
787,579
586,660
679,556
586,660
679,556
233,183
216,156
190,164
194,220
538,518
538,518
255,209
229,241
692,570
689,656
692,570
689,656
854,598
737,535
308,284
269,270
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
136,138
131,135
136,135
128,128
128,132
128,128
128,128
128,128
128,128
128,128
128,128
128,144
140,137
244,160
208,189
153,281
184,301
153,260
181,302
151,151
154,145
130,136
128,134
128,128
128,128
147,141
146,140
149,141
152,139
151,144
136,139
147,153
149,105
144,157
150,162
148,155
148,159
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
128,128
129,128
128,128
156,147
157,150
135,152
140,151
128,128
128,128
143,148
133,138
153,149
137,164
887,806
978,842
130,133
583,466
545,600
136,128
131,128
176,162
173,171
179,167
183,172
134,128
130,132
128,128
135,128
810,717
890,941
170,157
145,151
280,280
340,395
614,508
625,488
834,904
128,128
128,104
128,128
737,936
128,128
128,128
128,63
825,898
275,289
241,261
128,128
128,128
128,128
231,252
128,128
128,128
827,1023
128,128
203,239
128,128
128,128
1084,1021
128,128
128,132
128,128
128,128
128,128
128,128
128,128
128,128
128,128
152,149
128,128
574,700
128,128
1161,904
128,128
128,128
128,128
128,128
128,128
128,128
